Country of birth,2021-22,
Australia,"-14,160",
Norfolk Island,0,
"Aust E T, nec",0,
New Zealand,"4,910",
New Caledonia,30,
PNG,430,
Solomon Islands,"1,430",
Vanuatu,"2,030",
Guam,0,
Kiribati,140,
Marshall Is,0,
"Micronesia, F S",0,
Nauru,10,
N Mariana Is,0,
Palau,0,
Cook Islands,20,
Fiji,"2,100",
French Poly,0,
Niue,10,
Samoa,"2,830",
Samoa American,0,
Tokelau,10,
Tonga,"1,120",
Tuvalu,20,
Wallis/Futuna,0,
Pitcairn Is,0,
"Polynesia, nec",0,
Adelie Land,0,
Argentinian A T,0,
Australian A T,0,
British A T,0,
Chilean A T,0,
Queen Maud Land,0,
Ross Dependency,0,
"UK, CIs & IOM",920,
Ireland,-510,
Austria,-40,
Belgium,-120,
France,"-1,570",
Germany,-560,
Liechtenstein,0,
Luxembourg,0,
Monaco,0,
Netherlands,-330,
Switzerland,20,
Denmark,-60,
Faroe Islands,0,
Finland,-70,
Greenland,0,
Iceland,0,
Norway,60,
Sweden,-180,
Aland Islands,0,
Andorra,0,
Gibraltar,0,
Holy See,0,
Italy,-780,
Malta,-30,
Portugal,-90,
San Marino,0,
Spain,-420,
Albania,0,
Bosnia/Herzegov,-320,
Bulgaria,-90,
Croatia,-360,
Cyprus,-70,
North Macedonia,-10,
Greece,-540,
Moldova,20,
Romania,-110,
Slovenia,-50,
Montenegro,0,
Serbia,-240,
Kosovo,0,
Belarus,50,
Czechia,-80,
Estonia,-60,
Hungary,10,
Latvia,20,
Lithuania,70,
Poland,-130,
Russia,550,
Slovakia,-50,
Ukraine,"2,420",
Algeria,-10,
Egypt,730,
Libya,-30,
Morocco,20,
Sudan,30,
Tunisia,20,
Western Sahara,0,
Sp North Africa,0,
South Sudan,60,
Bahrain,90,
Gaza Str/W Bank,0,
Iran,"3,190",
Iraq,"3,330",
Israel,-190,
Jordan,230,
Kuwait,370,
Lebanon,"1,400",
Oman,100,
Qatar,170,
Saudi Arabia,250,
Syria,"1,100",
Turkey,60,
Unit Arab Emir,970,
Yemen,60,
Myanmar,"1,320",
Cambodia,"1,300",
Laos,210,
Thailand,"6,080",
Vietnam,"6,550",
Brunei,150,
Indonesia,"4,090",
Malaysia,"2,300",
Philippines,"11,570",
Singapore,"2,320",
Timor-Leste,60,
China,"15,150",
Hong Kong,"8,040",
Macau,200,
Mongolia,310,
Taiwan,"2,050",
Japan,"1,170",
"Korea, North",-30,
"Korea, South",370,
Bangladesh,"2,680",
Bhutan,"1,580",
India,"38,130",
Maldives,20,
Nepal,"20,170",
Pakistan,"6,430",
Sri Lanka,"5,380",
Afghanistan,"8,050",
Armenia,20,
Azerbaijan,20,
Georgia,20,
Kazakhstan,120,
Kyrgyzstan,10,
Tajikistan,10,
Turkmenistan,10,
Uzbekistan,40,
Bermuda,10,
Canada,110,
St Pierre/Mique,0,
USA,-920,
Argentina,290,
Bolivia,20,
Brazil,"2,000",
Chile,600,
Colombia,630,
Ecuador,40,
Falkland Is,0,
French Guiana,0,
Guyana,0,
Paraguay,30,
Peru,160,
Suriname,0,
Uruguay,50,
Venezuela,10,
"S America, nec",0,
Belize,0,
Costa Rica,20,
El Salvador,20,
Guatemala,50,
Honduras,30,
Mexico,190,
Nicaragua,10,
Panama,10,
Anguilla,0,
Antigua/Barbuda,0,
Aruba,0,
Bahamas,10,
Barbados,0,
Cayman Islands,10,
Cuba,10,
Dominica,0,
Dominican Rep,0,
Grenada,0,
Guadeloupe,0,
Haiti,0,
Jamaica,20,
Martinique,0,
Montserrat,0,
Puerto Rico,-10,
St Kitts/Nevis,0,
St Lucia,0,
St Vinc/Grenad,0,
Trinidad/Tobago,30,
Turks/Caicos Is,0,
"Virgin Is, Brit",0,
"Virgin Is, US",0,
St Barthelemy,0,
St Martin (Fr),0,
Bonaire/SE/Saba,0,
Curacao,0,
Sint Maarten Dp,0,
Benin,0,
Burkina Faso,0,
Cameroon,30,
Cabo Verde,0,
Cent Africa Rep,0,
Chad,0,
"Congo, Rep",20,
"Congo, Dem Rep",180,
Cote d'Ivoire,10,
Equator Guinea,0,
Gabon,0,
Gambia,10,
Ghana,390,
Guinea,70,
Guinea-Bissau,0,
Liberia,60,
Mali,0,
Mauritania,0,
Niger,0,
Nigeria,"1,610",
Sao Tome/Princ,0,
Senegal,10,
Sierra Leone,110,
Togo,10,
Angola,0,
Botswana,40,
Burundi,60,
Comoros,0,
Djibouti,0,
Eritrea,110,
Ethiopia,420,
Kenya,"1,700",
Lesotho,0,
Madagascar,-10,
Malawi,80,
Mauritius,430,
Mayotte,0,
Mozambique,0,
Namibia,50,
Reunion,-10,
Rwanda,30,
St Helena,0,
Seychelles,20,
Somalia,50,
South Africa,"4,520",
Eswatini,0,
Tanzania,50,
Uganda,160,
Zambia,210,
Zimbabwe,"1,050",

